AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE,EMPLOYMENT,SALARY,LOS,AGYSUB,LOC,AGELVL,EDLVL,GSEGRD,LOSLVL,OCC,PATCO,PP1,PPGRD,SALLVL,STEMOCC,SUPERVIS,TOA,WORKSCH,WORKSTAT,DATECODE1,EMPLOYMENT1,SALARY,LOS,Salary_hike
ARXK,35,B,13,7,B,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,1,ARXK,35,B,13,9,B,855,1,99,GS-09,E,855,8,15,F,1,202109,1,59907,1.3,1
ARXK,35,B,4,4,B,899,5,99,GS-04,C,XXXX,8,20,P,2,202106,1,31520,1,ARXK,35,B,4,5,B,899,5,99,GS-05,C,XXXX,8,20,P,2,202109,1,35265,1.3,1
ARXK,35,B,13,7,B,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,1,ARXK,35,B,13,9,B,855,1,99,GS-09,E,855,8,15,F,1,202109,1,59907,1.3,1
ARXK,35,B,13,7,B,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,1,ARXK,35,B,13,9,B,855,1,99,GS-09,E,855,8,15,F,1,202109,1,59907,1.3,1
ARXK,35,B,4,4,B,899,5,99,GS-04,C,XXXX,8,20,P,2,202106,1,31520,1,ARXK,35,B,4,5,B,899,5,99,GS-05,C,XXXX,8,20,P,2,202109,1,35265,1.3,1
ARXK,35,B,13,7,A,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,0.4,ARXK,35,B,13,7,A,855,1,99,GS-07,D,855,8,15,F,1,202109,1,48978,0.7,0
ARXK,35,B,4,4,A,899,5,99,GS-04,C,XXXX,8,20,P,2,202106,1,31520,0.4,ARXK,35,B,4,4,A,899,5,99,GS-04,C,XXXX,8,20,P,2,202109,1,31520,0.7,0
ARXK,35,B,13,7,A,855,1,99,GS-07,D,855,8,15,F,1,202106,1,48978,0,ARXK,35,B,13,7,A,855,1,99,GS-07,D,855,8,15,F,1,202109,1,48978,0.3,0
ARXX,1,I,13,13,J,301,2,99,GS-13,L,XXXX,8,10,F,1,202106,1,120641,35.5,ARXX,1,I,13,13,J,301,2,99,GS-13,L,XXXX,8,10,F,1,202109,1,120641,35.8,0
ARXX,1,H,12,13,C,346,2,99,GS-13,I,XXXX,8,20,F,2,202106,1,98417,4.5,ARXX,1,H,12,13,C,346,2,99,GS-13,J,XXXX,8,20,F,2,202109,1,101592,4.8,1
ARXX,1,E,17,13,E,301,2,99,GS-13,J,XXXX,8,10,F,1,202106,1,107942,14.5,ARXX,1,E,17,13,E,301,2,99,GS-13,J,XXXX,8,10,F,1,202109,1,107942,14.8,0
ARXX,1,E,13,13,F,801,1,99,GS-13,K,801,8,10,F,1,202106,1,117466,18,ARXX,1,E,13,13,F,801,1,99,GS-13,K,801,8,10,F,1,202109,1,117466,18.3,0
ARXX,1,J,10,12,E,560,2,99,GS-12,I,XXXX,8,10,F,1,202106,1,98786,13.5,ARXX,1,J,10,12,E,560,2,99,GS-12,I,XXXX,8,10,F,1,202109,1,98786,13.8,0
